zcta,pop10,afact,date,weighted_median_percentage_time_home,weighted_part_time_work_behavior_devices,weighted_full_time_work_behavior_devices,weighted_delivery_behavior_devices,weighted_distance_traveled_from_home,weighted_median_non_home_dwell_time
10001,471,0.134,2020-03-12T04:00:00Z,69.75063543,6.771381466,3.715600742,1.451604039,2749.641616,134.0989103
10002,988,1,2020-03-12T04:00:00Z,76.40720027,4.574206452,3.981480796,1.777806585,2224.225045,19.4598819
10003,1427,1,2020-03-12T04:00:00Z,72.20831348,2.702072415,2.041281563,1.49423535,3854.796427,155.0881848
10005,6839,0.843,2020-03-12T04:00:00Z,61.64663024,31.26138434,24.11930783,1.764116576,4887.513661,66.45629646
10006,2055,0.994,2020-03-12T04:00:00Z,67.56402878,9.715107914,1,1.284892086,4924.014388,95.56591484
10007,12,0.006,2020-03-12T04:00:00Z,71.52553354,9.872332317,8.493521341,1.121189024,3216.98247,70.37689004
10009,2472,1,2020-03-12T04:00:00Z,75.73529412,4.823529412,4.676470588,2.029411765,2113.588235,43.47853736
10010,14,0.011,2020-03-12T04:00:00Z,73.12117146,4.103821597,2.765244749,1.198158601,2447.485704,135.1299129
10011,1568,0.932,2020-03-12T04:00:00Z,,,,,,154.4951015
10012,60,0.07,2020-03-12T04:00:00Z,73.67544819,3.272081329,2.184357237,1.344720157,5228.983111,130.8151885
10013,150,0.047,2020-03-12T04:00:00Z,76.60438902,6.948595077,4.694946635,1.506806796,3552.23557,100.9447266
10014,8,0.009,2020-03-12T04:00:00Z,76.30608372,2.281454517,1.660457731,1.271773225,2915.445765,152.5484424
10016,832,0.602,2020-03-12T04:00:00Z,68.46739539,3.490926187,3.000705219,1.216008463,2736.811189,140.2003411
10017,19,0.018,2020-03-12T04:00:00Z,,,,,,5.88736835
10018,1594,1,2020-03-12T04:00:00Z,49.65161957,4.271536871,2.623707788,2.356650586,4139.339766,74.56782601
10019,963,0.997,2020-03-12T04:00:00Z,65.34117381,3.929823994,3.661673353,1.597126957,3661.031966,53.56509248
10021,287,0.219,2020-03-12T04:00:00Z,72.65586623,4.050408845,2.892965424,1.403393256,1820.012219,94.31175026
10022,1544,1,2020-03-12T04:00:00Z,71.77006426,3.576462948,2.900157233,1.265484003,2585.354389,61.99242844
10023,2071,1,2020-03-12T04:00:00Z,76.18311539,3.619041064,2.502225281,1.267951365,2845.092659,87.09566476
10024,765,0.689,2020-03-12T04:00:00Z,83.74738012,2.577711745,2.186521798,1.226829379,3246.349204,62.25009213
10025,918,1,2020-03-12T04:00:00Z,79.0680396,3.837598456,3.087372747,1.638211762,3312.741618,78.30995694
10026,1886,1,2020-03-12T04:00:00Z,83.09971182,5.234449124,4.548791842,3.002837508,2821.672002,6.777386209
10027,661,0.602,2020-03-12T04:00:00Z,77.3926323,4.740114106,3.719998033,2.48477769,3377.10208,70.08290122
10028,2421,1,2020-03-12T04:00:00Z,74.84424173,4.152628938,3.615770673,1.205178166,2291.07844,157.9726013
10029,1173,0.51,2020-03-12T04:00:00Z,79.62022149,5.711985651,4.353959415,2.35481449,2515.234186,25.79309294
10030,618,0.231,2020-03-12T04:00:00Z,81.275624,6.818374934,5.986546291,4.319702602,2843.431876,6.039302181
10031,820,0.591,2020-03-12T04:00:00Z,79.44844321,5.197409344,4.705799925,1.774804334,3953.113914,8.152210038
10032,669,0.562,2020-03-12T04:00:00Z,78.01704191,5.453014235,4.570521182,1.888391085,3603.997873,13.66458429
10033,451,0.239,2020-03-12T04:00:00Z,74.64397519,3.937330183,3.256940343,1.718369758,4724.166361,16.18566032
10034,705,1,2020-03-12T04:00:00Z,74.95795459,4.249139365,2.856651066,1.580203458,4349.785209,16.17877898
10035,1131,1,2020-03-12T04:00:00Z,,,,,,14.83986799
10036,1,1,2020-03-12T04:00:00Z,68.16076964,5.000467864,4.170711738,2.026024914,3556.749401,37.33267711
10037,449,0.277,2020-03-12T04:00:00Z,74.82874717,5.710100356,3.926270638,2.64729686,3197.384671,9.527771823
10038,972,0.12,2020-03-12T04:00:00Z,66.95174119,10.61908856,7.091788478,2.914767842,3813.004729,70.79123336
10039,35,0.025,2020-03-12T04:00:00Z,71.44167103,8.28017338,8.980046334,4.280920708,2767.586354,13.22807955
10040,924,0.602,2020-03-12T04:00:00Z,81.3107719,4.465940914,4.519662367,2.288841557,3876.193705,7.071695764
10044,9723,1,2020-03-12T04:00:00Z,84,12.66666667,10.66666667,1.666666667,8684.333333,4.693693694
10065,1545,1,2020-03-12T04:00:00Z,72.89696658,3.524318766,3.499605827,1.267352185,1880.785947,144.4922799
10069,1400,0.32,2020-03-12T04:00:00Z,73.90343421,8.160149609,6.309418565,1.108806528,2436.853451,30.04366965
10075,829,0.434,2020-03-12T04:00:00Z,81.2193741,3.702645666,2.881717109,1.244698373,2536.832304,175.136897
10103,3,0.003,2020-03-12T04:00:00Z,0,2,2,1,4640,111.5675676
10119,92,0.082,2020-03-12T04:00:00Z,39,7,6,1,6151,52.87837838
